time	intensity	phase	power	power	bootstrap	bootstrap
293.1705	1.39E-05	0	0.00046549	0	0.00059576	0
299.6854	4.30E-05	0	0.0008063	0	0.0008674	0
306.2003	0.000235503	3.95407	0.0011095	0	0.0010756	0
312.7152	0.000519474	3.915728	0.0013965	0	0.0015747	0
319.2301	0.000840416	3.884832	0.0016412	0	0.0017729	0
325.745	0.001159491	3.85752	0.001828	0	0.0017943	0
332.2599	0.001445459	3.829743	0.0019506	0	0.0019652	0
338.7748	0.001677462	3.799444	0.0020122	0	0.0020969	0
345.2897	0.001849672	3.768612	0.0020242	0	0.0020195	0
351.8046	0.001963218	3.739061	0.0019925	0	0.0019287	0
358.3195	0.002018766	3.709196	0.0019218	0	0.0018908	0
364.8344	0.002020884	3.677509	0.0018233	0	0.0017944	0
371.3493	0.001980439	3.645987	0.0017089	0	0.0016888	0
377.8642	0.001907629	3.616773	0.0015825	0	0.0015453	0
384.3791	0.001808725	3.588441	0.0014451	0	0.0013726	0
390.894	0.001690282	3.559364	0.0013048	0	0.0012777	0
397.4089	0.001560208	3.531814	0.0011692	0	0.0011481	0
403.9238	0.001424293	3.508488	0.0010375	0	0.00097258	0
410.4387	0.00128605	3.487966	0.00090863	0	0.0008746	0
416.9536	0.00114895	3.468462	0.00078783	0	0.00077184	0
423.4685	0.001016236	3.452976	0.00067968	0	0.00064082	0
429.9834	0.000890024	3.445268	0.00058206	0	0.00055049	0
436.4983	0.000772077	3.443978	0.00049335	0	0.0004689	0
443.0132	0.000663993	3.447103	0.00041705	0	0.00039479	0
449.5281	0.000566754	3.458902	0.00035534	0	0.00034251	0
456.043	0.000481116	3.484873	0.00030591	0	0.00028963	0
462.5579	0.000407805	3.523468	0.00026737	0	0.0002562	0
469.0728	0.000346909	3.571668	0.00024118	0	0.00024379	0
475.5877	0.000298431	3.6344	0.00022756	0	0.00022695	0
482.1026	0.000262719	3.716743	0.00022473	0	0.00022121	0
488.6175	0.000239201	3.811646	0.0002318	0	0.00023973	0
495.1324	0.0002264	3.908804	0.00024893	0	0.00025664	0
501.6473	0.000224309	4.007218	0.00027535	0	0.00027884	0
508.1622	0.00023376	4.105243	0.0003103	0	0.0003234	0
514.6771	0.000253192	4.192089	0.00035372	0	0.00036945	0
521.192	0.000280095	4.260997	0.00040484	0	0.00041609	0
527.7069	0.000315377	4.31644	0.00046217	0	0.00047879	0
534.2218	0.000360906	4.362881	0.00052537	0	0.00054741	0
540.7367	0.000414126	4.398432	0.00059442	0	0.00062002	0
547.2516	0.000471368	4.422715	0.00066745	0	0.00069671	0
553.7665	0.000534225	4.441049	0.00074181	0	0.00076739	0
560.2814	0.000605075	4.45761	0.00081699	0	0.00084076	0
566.7963	0.000679772	4.471234	0.00089282	0	0.00091446	0
573.3112	0.000753061	4.481067	0.00096667	0	0.00097697	0
579.8261	0.000826899	4.490359	0.0010356	0	0.0010417	0
586.341	0.000904053	4.501686	0.0010993	0	0.0011101	0
592.8559	0.000979089	4.513425	0.0011584	0	0.0011692	0
599.3708	0.001045749	4.524128	0.0012099	0	0.0012325	0
605.8857	0.001106905	4.535877	0.0012503	0	0.0012902	0
612.4006	0.001166251	4.55041	0.00128	0	0.0013154	0
618.9155	0.001217791	4.565974	0.0013005	0	0.0013076	0
625.4304	0.001254934	4.580973	0.0013097	0	0.0012835	0
631.9453	0.001281685	4.597004	0.0013042	0	0.0012603	0
638.4602	0.001302694	4.61552	0.0012853	0	0.0012585	0
644.9751	0.001311748	4.6349	0.0012557	0	0.0012552	0
651.49	0.001302434	4.653661	0.001214	0	0.001216	0
658.0049	0.001280052	4.673314	0.0011572	0	0.0011558	0
664.5198	0.001250403	4.695353	0.0010892	0	0.0010911	0
671.0347	0.001208028	4.718403	0.0010143	0	0.0010041	0
677.5496	0.00114788	4.741172	0.00093196	0	0.00088651	0
